[2016-08-02 17:38:02,780][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-08-02 17:38:02,781][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'vdy4ydtme2gewyz65z4uc9lhrwjuouqb' AND `django_session`.`expire_date` > '2016-08-02 09:38:02'); args=('vdy4ydtme2gewyz65z4uc9lhrwjuouqb', u'2016-08-02 09:38:02')
[2016-08-02 17:38:02,782][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_user`.`id`, `codeonline_user`.`password`, `codeonline_user`.`last_login`, `codeonline_user`.`is_superuser`, `codeonline_user`.`username`, `codeonline_user`.`alias`, `codeonline_user`.`email`, `codeonline_user`.`is_active`, `codeonline_user`.`is_staff`, `codeonline_user`.`description`, `codeonline_user`.`group_admin_tag` FROM `codeonline_user` WHERE `codeonline_user`.`id` = 10; args=(10,)
[2016-08-02 17:38:02,789][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_content_type`.`app_label`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `codeonline_user_user_permissions` ON ( `auth_permission`.`id` = `codeonline_user_user_permissions`.`permission_id` ) INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `codeonline_user_user_permissions`.`user_id` = 10; args=(10,)
[2016-08-02 17:38:02,791][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `django_content_type`.`app_label`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `auth_group_permissions` ON ( `auth_permission`.`id` = `auth_group_permissions`.`permission_id` ) INNER JOIN `auth_group` ON ( `auth_group_permissions`.`group_id` = `auth_group`.`id` ) INNER JOIN `codeonline_user_groups` ON ( `auth_group`.`id` = `codeonline_user_groups`.`group_id` ) INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `codeonline_user_groups`.`user_id` = 10; args=(10,)
[2016-08-02 17:38:02,792][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_onlinerequest`.`id`, `codeonline_onlinerequest`.`online_function`, `codeonline_onlinerequest`.`suggest_update_time`, `codeonline_onlinerequest`.`request_time`, `codeonline_onlinerequest`.`product_manager_confirm_before_online_id`, `codeonline_onlinerequest`.`test_result_tag`, `codeonline_onlinerequest`.`online_files`, `codeonline_onlinerequest`.`developer_man_confirm_before_online_id`, `codeonline_onlinerequest`.`developer_confirm_before_online_time`, `codeonline_onlinerequest`.`test_man_confirm_before_online_id`, `codeonline_onlinerequest`.`test_confirm_before_online_time`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_id`, `codeonline_onlinerequest`.`technical_man_fun_confirm_online_time`, `codeonline_onlinerequest`.`maintenance_person_comfirm_id`, `codeonline_onlinerequest`.`update_code_time`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_id`, `codeonline_onlinerequest`.`maintenance_manager_comfirm_time`, `codeonline_onlinerequest`.`test_man_confirm_after_online_id`, `codeonline_onlinerequest`.`test_man_confirm_after_online_time`, `codeonline_onlinerequest`.`product_man_confirm_after_online_id`, `codeonline_onlinerequest`.`product_man_confirm_after_online_time`, `codeonline_onlinerequest`.`online_request_status` FROM `codeonline_onlinerequest` ORDER BY `codeonline_onlinerequest`.`id` DESC; args=()
[2016-08-02 17:38:02,794][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_user`.`id`, `codeonline_user`.`password`, `codeonline_user`.`last_login`, `codeonline_user`.`is_superuser`, `codeonline_user`.`username`, `codeonline_user`.`alias`, `codeonline_user`.`email`, `codeonline_user`.`is_active`, `codeonline_user`.`is_staff`, `codeonline_user`.`description`, `codeonline_user`.`group_admin_tag` FROM `codeonline_user` INNER JOIN `codeonline_onlinerequest_developer_confirm_before_online` ON ( `codeonline_user`.`id` = `codeonline_onlinerequest_developer_confirm_before_online`.`user_id` ) WHERE `codeonline_onlinerequest_developer_confirm_before_online`.`onlinerequest_id` = 8; args=(8,)
[2016-08-02 17:38:02,795][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_user`.`id`, `codeonline_user`.`password`, `codeonline_user`.`last_login`, `codeonline_user`.`is_superuser`, `codeonline_user`.`username`, `codeonline_user`.`alias`, `codeonline_user`.`email`, `codeonline_user`.`is_active`, `codeonline_user`.`is_staff`, `codeonline_user`.`description`, `codeonline_user`.`group_admin_tag` FROM `codeonline_user` INNER JOIN `codeonline_onlinerequest_require_side` ON ( `codeonline_user`.`id` = `codeonline_onlinerequest_require_side`.`user_id` ) WHERE `codeonline_onlinerequest_require_side`.`onlinerequest_id` = 8; args=(8,)
[2016-08-02 17:38:02,796][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_app`.`id`, `codeonline_app`.`app_name`, `codeonline_app`.`description` FROM `codeonline_app` INNER JOIN `codeonline_onlinerequest_app` ON ( `codeonline_app`.`id` = `codeonline_onlinerequest_app`.`app_id` ) WHERE `codeonline_onlinerequest_app`.`onlinerequest_id` = 8; args=(8,)
[2016-08-02 17:38:02,804][task_id:django.db.backends][utils.py:89] [DEBUG]- (0.000) SELECT `codeonline_user`.`id`, `codeonline_user`.`password`, `codeonline_user`.`last_login`, `codeonline_user`.`is_superuser`, `codeonline_user`.`username`, `codeonline_user`.`alias`, `codeonline_user`.`email`, `codeonline_user`.`is_active`, `codeonline_user`.`is_staff`, `codeonline_user`.`description`, `codeonline_user`.`group_admin_tag` FROM `codeonline_user` INNER JOIN `codeonline_onlinerequest_developer_confirm_before_online` ON ( `codeonline_user`.`id` = `codeonline_onlinerequest_developer_confirm_before_online`.`user_id` ) WHERE `codeonline_onlinerequest_developer_confirm_before_online`.`onlinerequest_id` = 7; args=(7,)
